addr:street,addr:housenumber,addr:postcode,addr:city,building,lon,lat
Bekkerveld,1,6417CL,Heerlen,,5.9840321,50.8791163
Burg. Savelbergstraat,1,6417CN,Heerlen,,5.9798944,50.879588000000005
Burg. Waszinkstraat,1,6417CT,Heerlen,,5.980781400000001,50.876359900000004
Burgemeester van Rooystraat,1,6417XJ,Heerlen,,5.9843409,50.878561000000005
Catullusstraat,1,6417TG,Heerlen,,5.9794917000000005,50.876531
Celsusstraat,1,6417VC,Heerlen,,5.9745108,50.879316100000004
Clara Wichmannstraat,1,6417ZB,Heerlen,,5.9880079,50.876555200000006
De Doom,1,6419CW,Heerlen,,5.968958300000001,50.8744907
De Hoof,1,6419EK,Heerlen,,5.9681043,50.872134800000005
De Kommert,1,6419GA,Heerlen,,5.964914500000001,50.8714754
De Thun,1,6419XL,Heerlen,,5.9648667,50.872143400000006
De Tichel,1,6417RA,Heerlen,,5.9791885,50.8733981
De Wingerd,1,6419EL,Heerlen,,5.9638442000000005,50.871588300000006
Dillegaard,1,6417HG,Heerlen,,5.9787131,50.872443200000006
Doctor Ingenieur Bungestraat,1,6419BV,Heerlen,,5.9668529,50.8745015
Dr. Ir. Ross van Lennepstraat,1,6419BK,Heerlen,,5.962094400000001,50.87562500000001
Doctor Plesmanstraat,1,6417EB,Heerlen,,5.9844971000000005,50.8766922
Drieoortsput,1,6417PL,Heerlen,,5.9820887,50.868593600000004
Enniusstraat,1,6417XD,Heerlen,,5.9772208000000004,50.8782354
Esdoornstraat,1,6417AH,Heerlen,,5.9907911,50.8740425
Frankenlaan,1,6419BT,Heerlen,,5.968028400000001,50.878101300000004
Gallusstraat,1,6417VD,Heerlen,,5.9756587,50.8776171
Geijsendorfferstraat,1,6417EA,Heerlen,,5.9851958000000005,50.876492600000006
Gerben Sondermanstraat,1,6417GD,Heerlen,,5.9857391,50.8747101
Hagedoornstraat,1,6417AP,Heerlen,,5.9900802,50.874828400000006
Henri Dunantstraat,1,6419PB,Heerlen,,5.974915800000001,50.870798
Het Bergske,1,6417GN,Heerlen,,5.988338300000001,50.8719917
Horatiusstraat,1,6417TM,Heerlen,,5.978637,50.8775933
Ir. Lelystraat,1,6419XN,Heerlen,,5.964973700000001,50.873873100000004
Jan Olieslagersstraat,1,6417EV,Heerlen,,5.9857719000000005,50.876051100000005
Jos Habetsstraat,1,6419CB,Heerlen,,5.9654248,50.8762975
K.L.M.-straat,1,6417AW,Heerlen,,5.986223000000001,50.8748407
Kemmerlingstraat,1,6417XT,Heerlen,,5.983164,50.8767906
Keulseweg,1,6419PA,Heerlen,,5.9757502,50.8754222
Klaverstraat,1,6419XW,Heerlen,,5.962045000000001,50.872896700000005
Korenstraat,1,6419XM,Heerlen,,5.960905,50.872968500000006
Laarhofplein,1,6419XC,Heerlen,,5.9682199,50.873861600000005
Lindberghstraat,1,6417EG,Heerlen,,5.9836355,50.8764029
Lintjensstraat,1,6417XS,Heerlen,,5.981670500000001,50.8777423
Marcellusstraat,1,6417TJ,Heerlen,,5.978153900000001,50.876300900000004
Marjoleingaard,1,6417HC,Heerlen,,5.980091300000001,50.87110070000001
Meidoornstraat,1,6417AM,Heerlen,,5.990425800000001,50.8746213
Melsbroekstraat,1,6417EZ,Heerlen,,5.985440700000001,50.875432100000005
Mergelsweg,1,6419EA,Heerlen,,5.9657447,50.8717631
Mgr. Schrijnenstraat,1,6417XW,Heerlen,,5.9837834,50.8771616
Molenplein,1,6417PE,Heerlen,,5.9837815,50.8713605
Meester Adriaan Sassenstraat,1,6417XK,Heerlen,,5.9812583,50.8765846
Nieuwhuisstraat,1,6417AG,Heerlen,,5.991170400000001,50.8737517
Oude Molenweg,1,6417GV,Heerlen,,5.9805413000000005,50.8714742
Ovidiusstraat,1,6417VR,Heerlen,,5.9775207,50.8803672
P. Petersstraat,1,6419CA,Heerlen,,5.967528300000001,50.874481900000006
Parmentierstraat,1,6417AX,Heerlen,,5.9858462,50.877160700000005
Petroniusstraat,1,6417VL,Heerlen,,5.976406000000001,50.878049100000005
Piet Malherbestraat,1,6417GR,Heerlen,,5.9836133,50.8738733
Pliniusstraat,1,6417TR,Heerlen,,5.9779315,50.8774742
Pluijmaekersstraat,1,6417XL,Heerlen,,5.9821556000000005,50.8765134
Proculusstraat,1,6417TH,Heerlen,,5.978601500000001,50.8763735
Prof. Dumontstraat,1,6419BR,Heerlen,,5.9643313000000004,50.8753271
Prof. Lambertstraat,1,6419BM,Heerlen,,5.9641114,50.8759554
Rozemarijngaard,1,6417HD,Heerlen,,5.9806322000000005,50.870595200000004
Ruys de Beerenbroucklaan,1,6417CC,Heerlen,,5.9830524,50.8829689
Sabenastraat,1,6417GB,Heerlen,,5.9858286000000005,50.875612200000006
Schipholstraat,1,6417GA,Heerlen,,5.9854281,50.8759534
Smidserweg,1,6419CP,Heerlen,,5.969618400000001,50.877506100000005
Soesterbergstraat,1,6417EW,Heerlen,,5.9841598000000005,50.8754341
St. Annalaan,1,6417CP,Heerlen,,5.985456200000001,50.8787565
Tacitusstraat,1,6417TT,Heerlen,,5.9772281000000005,50.877357100000005
Tijmgaard,1,6417HE,Heerlen,,5.9815794,50.8699414
Van Sonsbeeckstraat,1,6417XV,Heerlen,,5.9846,50.8777215
Varusstraat,1,6417VK,Heerlen,,5.9753240000000005,50.878753800000005
Veldjen,1,6417GG,Heerlen,,5.9834966000000005,50.8727238
Vergiliusstraat,1,6417XA,Heerlen,,5.9797970000000005,50.877939700000006
Vlotstraat,1,6417CA,Heerlen,,5.9834391,50.8817238
Vrusschemigerweg,1,6417PB,Heerlen,,5.9899601,50.8727876
Waalhavenstraat,1,6417EX,Heerlen,,5.984799300000001,50.875705200000006
Welterkerkstraat,1,6419CR,Heerlen,,5.969655400000001,50.875329
Aarweg,10,6417XH,Heerlen,,5.978757900000001,50.8794515
Altaar Dries,10,6419EV,Heerlen,,5.967420300000001,50.870986900000005
Bekkerveld,10,6417CL,Heerlen,,5.9820462,50.8789649
Blériotstraat,10,6417AV,Heerlen,,5.9876199,50.8751339
Burg. Savelbergstraat,10,6417CN,Heerlen,,5.980420100000001,50.879457200000004
Burgemeester van Rooystraat,10,6417XJ,Heerlen,,5.9834204,50.878446800000006
Cicerostraat,10,6417XC,Heerlen,,5.9780251,50.8784094
De Doom,10,6419CX,Heerlen,,5.9686887,50.8739028
De Hoof,10,6419EK,Heerlen,,5.967139100000001,50.8723339
De Kommert,10,6419GD,Heerlen,,5.9644206,50.8714796
De Lirp,10,6419EW,Heerlen,,5.9665933,50.872049600000004
De Mullender,10,6419EZ,Heerlen,,5.968479,50.872387800000006
De Thun,10,6419XJ,Heerlen,,5.965256500000001,50.87225290000001
De Tichel,10,6417RA,Heerlen,,5.978721200000001,50.8732983
De Wingerd,10,6419EN,Heerlen,,5.9631599,50.871065800000004
Dillegaard,10,6417HG,Heerlen,,5.9787116000000005,50.8724421
Douve Weienstraat,10,6417GK,Heerlen,,5.9854287,50.8738892
Dr. Goossensstraat,10,6419CE,Heerlen,,5.9665102,50.8779563
Doctor Ingenieur Bungestraat,10,6419BX,Heerlen,,5.9664951,50.875044300000006
Dr. Ir. Ross van Lennepstraat,10,6419BL,Heerlen,,5.961767900000001,50.8761549
Dr. Jaegersstraat,10,6417CK,Heerlen,,5.9794801,50.880293900000005
Drieoortsput,10,6417PL,Heerlen,,5.9820902,50.8685946
Enniusstraat,10,6417XD,Heerlen,,5.9773338,50.878644900000005
Esdoornstraat,10,6417AK,Heerlen,,5.990808400000001,50.874369
Eurenderweg,10,6417SG,Heerlen,,5.9811258,50.8753444
Gerben Sondermanstraat,10,6417GD,Heerlen,,5.984918400000001,50.8747671
Hagedoornstraat,10,6417AR,Heerlen,,5.9896206,50.8748858
Heesbergstraat,10,6417AC,Heerlen,,5.9880377000000005,50.8761523
Het Bergske,10,6417GN,Heerlen,,5.9874649,50.8712901
Horatiusstraat,10,6417TP,Heerlen,,5.9784477,50.8772248
Ir. Lelystraat,10,6419XR,Heerlen,,5.9646381,50.874388200000006
Jos Habetsstraat,10,6419CC,Heerlen,,5.9660001000000005,50.87696570000001
Julianusstraat,10,6417VN,Heerlen,,5.974463,50.878744700000006
Kemmerlingstraat,10,6417XT,Heerlen,,5.983209,50.877195900000004
Klaverstraat,10,6419XW,Heerlen,,5.9622373,50.8732185
Korenstraat,10,6419XM,Heerlen,,5.9611754,50.872728800000004
Leonard Stassenstraat,10,6417XP,Heerlen,,5.9813884,50.87803400000001
Lintjensstraat,10,6417XS,Heerlen,,5.9826709000000005,50.8779247
Liviusstraat,10,6417TS,Heerlen,,5.9785176,50.8765701
Marcellusstraat,10,6417TK,Heerlen,,5.9777908,50.8760367
Marcus Aureliushof,10,6417TD,Heerlen,,5.9766687,50.8770764
Marjoleingaard,10,6417HC,Heerlen,,5.9800673,50.8707129
Mergelsweg,10,6419EC,Heerlen,,5.964111300000001,50.8719076
Mgr. Schrijnenstraat,10,6417XZ,Heerlen,,5.984040200000001,50.8773963
Molenaarshof,10,6417SB,Heerlen,,5.981348400000001,50.8718427
Meester Adriaan Sassenstraat,10,6417XK,Heerlen,,5.9817611,50.8768156
Oude Molenweg,10,6417PW,Heerlen,,5.9816757,50.8709259
Ovidiusstraat,10,6417VX,Heerlen,,5.9782669,50.878782400000006
P. Petersstraat,10,6419CA,Heerlen,,5.9679091,50.874681
Parmentierstraat,10,6417AZ,Heerlen,,5.9858644000000005,50.8764331
Peschstraat,10,6417PZ,Heerlen,,5.9835336,50.8696959
Petroniusstraat,10,6417VL,Heerlen,,5.9764751,50.8784962
Plautusstraat,10,6417VJ,Heerlen,,5.9757273,50.8782073
Pliniusstraat,10,6417TR,Heerlen,,5.9777421,50.877106600000005
Pluijmaekersstraat,10,6417XM,Heerlen,,5.982187000000001,50.87699550000001
Prof. Lambertstraat,10,6419BP,Heerlen,,5.9638951,50.876487000000004
Prof. van Itersonstraat,10,6419BH,Heerlen,,5.963574100000001,50.877284700000004
Putstraat,10,6417GM,Heerlen,,5.9883198,50.8733346
Rector Poelsplein,10,6419CZ,Heerlen,,5.968612,50.876232200000004
Rozemarijngaard,10,6417HD,Heerlen,,5.981027800000001,50.8701516
Sallustiusstraat,10,6417VH,Heerlen,,5.9747139,50.8784305
Senecastraat,10,6417VG,Heerlen,,5.9749454,50.878106300000006
Soesterbergstraat,10,6417EW,Heerlen,,5.9840147,50.8750919
St. Annalaan,10,6417CR,Heerlen,,5.9847576,50.8783139
Tacitusstraat,10,6417TW,Heerlen,,5.9771412,50.8761671
Terentiusstraat,10,6417VE,Heerlen,,5.9751864,50.8777739
Tichelbeekstraat,10,6417SJ,Heerlen,,5.981084,50.873568500000005
Tijmgaard,10,6417HE,Heerlen,,5.9816289000000005,50.869513000000005
Ulpianusstraat,10,6417XE,Heerlen,,5.977462,50.879775300000006
Van Sonsbeeckstraat,10,6417XV,Heerlen,,5.9838543,50.8778808
Van Weerden Poelmanstraat,10,6417EN,Heerlen,,5.982410300000001,50.8761099
Veldjen,10,6417GG,Heerlen,,5.9836609,50.873250000000006
Vergiliusstraat,10,6417XB,Heerlen,,5.979797400000001,50.8782816
Vlotstraat,10,6417CB,Heerlen,,5.982661,50.881696600000005
Vrusschemigerweg,10,6417PB,Heerlen,,5.9888459,50.872157200000004
Weltertuijnstraat,10,6419CT,Heerlen,,5.9686387000000005,50.877103000000005
Wijnmalenstraat,10,6417ET,Heerlen,,5.981929500000001,50.876020800000006
Ypenburgstraat,10,6417PS,Heerlen,,5.9822733,50.874655100000005
Liviusstraat,10-GB14,,Heerlen,,5.9782913,50.876582400000004
Liviusstraat,10-GB15,,Heerlen,,5.978297700000001,50.876558100000004
Liviusstraat,10-GB16,,Heerlen,,5.9783701,50.8765409
Liviusstraat,10-GB17,,Heerlen,,5.9784126,50.8765483
Liviusstraat,10-GB18,,Heerlen,,5.978455,50.876555700000004
Liviusstraat,10-GB19,,Heerlen,,5.9784967,50.8765629
Liviusstraat,10-GB20,,Heerlen,,5.9785377,50.87657
Liviusstraat,10-GB21,,Heerlen,,5.978578700000001,50.876577100000006
Liviusstraat,10-GB22,,Heerlen,,5.9786204000000005,50.876584400000006
Liviusstraat,10-GB23,,Heerlen,,5.9786636,50.8765919
Liviusstraat,10-GB24,,Heerlen,,5.978703100000001,50.8765987
Liviusstraat,10-GB25,,Heerlen,,5.9787514,50.876633500000004
Liviusstraat,10-GB26,,Heerlen,,5.978742700000001,50.876657
Bekkerweg,100,6417BX,Heerlen,,5.9863439000000005,50.8782239
Benzenraderweg,100,6417SV,Heerlen,,5.9795615,50.8792236
De Kommert,100,6419GG,Heerlen,,5.962559300000001,50.8709196
De Tichel,100,6417RC,Heerlen,,5.9774154,50.872985
Dillegaard,100,6417HJ,Heerlen,,5.9784166,50.871565800000006
Drieoortsput,100,6417PP,Heerlen,,5.9821051,50.868604700000006
Ir. Lelystraat,100,6419XT,Heerlen,,5.963008100000001,50.873876300000006
Marcus Aureliushof,100,6417TD,Heerlen,,5.976665000000001,50.877084700000005
Mergelsweg,100,6419EG,Heerlen,,5.962521000000001,50.8720245
Prof. van Itersonstraat,100,6419SE,Heerlen,,5.9603937,50.8758266
Tacitusstraat,100,6417TZ,Heerlen,,5.9771412,50.87616310000001
Van Weerden Poelmanstraat,100,6417ER,Heerlen,,5.982729900000001,50.875376300000006
Vrusschemigerweg,100,6417PD,Heerlen,,5.9821308,50.870620800000005
Weltertuijnstraat,100,6419XD,Heerlen,,5.967272400000001,50.8741592
Ypenburgstraat,100,6417PS,Heerlen,,5.9822687000000005,50.8746474
Bekkerweg,101,6417BV,Heerlen,,5.984837000000001,50.879634200000005
Benzenraderweg,101,6417SK,Heerlen,,5.979667200000001,50.87956500000001
Burg. Waszinkstraat,101,6417CW,Heerlen,,5.9860747000000005,50.87777740000001
De Kommert,101,6419GC,Heerlen,,5.9638781000000005,50.869615100000004
De Thun,101,6419XG,Heerlen,,5.961862600000001,50.872218000000004
De Tichel,101,6417RB,Heerlen,,5.9774088,50.8729827
Dillegaard,101,6417HJ,Heerlen,,5.978416800000001,50.871565700000005
Drieoortsput,101,6417PP,Heerlen,,5.982105300000001,50.8686048
Eurenderweg,101,6417PA,Heerlen,,5.983102700000001,50.872095200000004
Frankenlaan,101,6419BS,Heerlen,,5.966495200000001,50.875652200000005
Oude Molenweg,101,6417GW,Heerlen,,5.9805513,50.871473900000005
Ovidiusstraat,101,6417VT,Heerlen,,5.978752900000001,50.8787018
Pijnsweg,101,6419CK,Heerlen,,5.969623,50.8771034
Van Weerden Poelmanstraat,101,6417EL,Heerlen,,5.9834784,50.8750913
Vrusschemigerweg,101,6417PH,Heerlen,,5.987570300000001,50.869997600000005
Weltertuijnstraat,101,6419XD,Heerlen,,5.9675219,50.87385140000001
Bekkerweg,102,6417BX,Heerlen,,5.986409800000001,50.8781879
Benzenraderweg,102,6417SV,Heerlen,,5.9796128,50.8791845
De Kommert,102,6419GG,Heerlen,,5.9625116,50.870946800000006
De Tichel,102,6417RC,Heerlen,,5.9774156000000005,50.8729851
Dillegaard,102,6417HJ,Heerlen,,5.978417,50.871565600000004
Drieoortsput,102,6417PP,Heerlen,,5.9821055,50.8686049
Ir. Lelystraat,102,6419XT,Heerlen,,5.9630082,50.873876100000004
Marcus Aureliushof,102,6417TD,Heerlen,,5.9766649,50.877084800000006
Mergelsweg,102,6419EG,Heerlen,,5.9624509,50.8720348
Prof. van Itersonstraat,102,6419SE,Heerlen,,5.96014,50.875991000000006
Tacitusstraat,102,6417TZ,Heerlen,,5.977141400000001,50.876163000000005
Van Weerden Poelmanstraat,102,6417ER,Heerlen,,5.9827297,50.875376200000005
Vrusschemigerweg,102,6417PD,Heerlen,,5.9822137,50.870627500000005
Weltertuijnstraat,102,6419XD,Heerlen,,5.9671951000000005,50.8741405
Ypenburgstraat,102,6417PS,Heerlen,,5.9822686,50.874647200000005
Bekkerweg,103,6417BV,Heerlen,,5.9849247000000005,50.879582600000006
Benzenraderweg,103,6417SL,Heerlen,,5.9798957,50.8792922
Burg. Waszinkstraat,103,6417CW,Heerlen,,5.9861494,50.8778075
De Kommert,103,6419GC,Heerlen,,5.9637434,50.8697275
De Thun,103,6419XG,Heerlen,,5.9618146,50.8721838
De Tichel,103,6417RB,Heerlen,,5.977409000000001,50.8729827
Dillegaard,103,6417HJ,Heerlen,,5.9784172,50.8715655
Drieoortsput,103,6417PP,Heerlen,,5.982105600000001,50.868605
Eurenderweg,103,6417PA,Heerlen,,5.9831028,50.8720951
Frankenlaan,103,6419BS,Heerlen,,5.9664951,50.8756524
Oude Molenweg,103,6417GW,Heerlen,,5.980551500000001,50.871473900000005
Ovidiusstraat,103,6417VT,Heerlen,,5.978753,50.8787019
Pijnsweg,103,6419CK,Heerlen,,5.969719,50.877006400000006
Van Weerden Poelmanstraat,103,6417EL,Heerlen,,5.983478300000001,50.8750914
Vrusschemigerweg,103,6417PH,Heerlen,,5.987653000000001,50.8700059
Weltertuijnstraat,103,6419XD,Heerlen,,5.9672847,50.873782600000006
De Kommert,103-GB01,,Heerlen,,5.963567800000001,50.8698063
De Kommert,103-GB02,,Heerlen,,5.9635363,50.8698252
De Kommert,103-GB03,,Heerlen,,5.9635058,50.8698418
De Kommert,103-GB04,,Heerlen,,5.9634765000000005,50.8698606
De Kommert,103-GB05,,Heerlen,,5.963440100000001,50.869878
De Kommert,103-GB06,,Heerlen,,5.9634108,50.8698953
De Kommert,103-GB07,,Heerlen,,5.963380300000001,50.869915600000006
De Kommert,103-GB08,,Heerlen,,5.963349900000001,50.869936700000004
De Kommert,103-GB09,,Heerlen,,5.9632109,50.869843800000005
De Kommert,103-GB10,,Heerlen,,5.9632413,50.869821400000006
De Kommert,103-GB11,,Heerlen,,5.9632699,50.8698038
De Kommert,103-GB12,,Heerlen,,5.963312500000001,50.8697882
De Kommert,103-GB13,,Heerlen,,5.963340700000001,50.8697694
De Kommert,103-GB14,,Heerlen,,5.9633688000000005,50.8697491
De Kommert,103-GB15,,Heerlen,,5.963402800000001,50.869729500000005
De Kommert,103-GB16,,Heerlen,,5.963429700000001,50.869709900000004
Benzenraderweg,103A,6417SL,Heerlen,,5.9799467,50.879226700000004
Akerstraat,104,6417BN,Heerlen,,5.983109600000001,50.882801
Benzenraderweg,104,6417SV,Heerlen,,5.9795935,50.879139800000004
De Kommert,104,6419GG,Heerlen,,5.962463700000001,50.870975400000006
De Tichel,104,6417RC,Heerlen,,5.9774158,50.8729851
Dillegaard,104,6417HJ,Heerlen,,5.9784173,50.8715655
Drieoortsput,104,6417PP,Heerlen,,5.9821058,50.8686051
Ir. Lelystraat,104,6419XT,Heerlen,,5.9630082,50.8738759
Marcus Aureliushof,104,6417TD,Heerlen,,5.9766648,50.877085
Mergelsweg,104,6419EG,Heerlen,,5.962402900000001,50.872006400000004
Prof. van Itersonstraat,104,6419SE,Heerlen,,5.9600038,50.8759844
Tacitusstraat,104,6417TZ,Heerlen,,5.9771415,50.876162900000004
Van Weerden Poelmanstraat,104,6417ER,Heerlen,,5.9827295000000005,50.875376100000004
Vrusschemigerweg,104,6417PD,Heerlen,,5.9825686000000005,50.8707317
Ypenburgstraat,104,6417PS,Heerlen,,5.9822685,50.874647
Bekkerweg,105,6417BV,Heerlen,,5.9849931000000005,50.879545
Benzenraderweg,105,6417SL,Heerlen,,5.9799958,50.8791683
Burg. Waszinkstraat,105,6417CW,Heerlen,,5.9862378000000005,50.877833100000004
De Thun,105,6419XG,Heerlen,,5.9617396000000005,50.87218420000001
De Tichel,105,6417RB,Heerlen,,5.9774092,50.8729828
Dillegaard,105,6417HJ,Heerlen,,5.9784175,50.8715654
Drieoortsput,105,6417PP,Heerlen,,5.982106000000001,50.868605200000005
Eurenderweg,105,6417PA,Heerlen,,5.9831029000000004,50.8720949
Frankenlaan,105,6419BS,Heerlen,,5.966495,50.8756525
Oude Molenweg,105,6417GW,Heerlen,,5.9805517,50.871473900000005
Ovidiusstraat,105,6417VT,Heerlen,,5.978753200000001,50.878702100000005
Pijnsweg,105,6419CK,Heerlen,,5.9696474,50.8770206
Van Weerden Poelmanstraat,105,6417EL,Heerlen,,5.9835608,50.8749496
Vrusschemigerweg,105,6417PH,Heerlen,,5.9877288,50.870015
Weltertuijnstraat,105,6419XD,Heerlen,,5.9672849,50.873782600000006
Akerstraat,106,6417BN,Heerlen,,5.9831912,50.882726600000005
Bekkerweg,106,6417BX,Heerlen,,5.9865434,50.8781149
Benzenraderweg,106,6417SV,Heerlen,,5.9796512,50.879098600000006
De Kommert,106,6419GG,Heerlen,,5.9624169,50.871003900000005
De Tichel,106,6417RD,Heerlen,,5.977416000000001,50.8729852
Dillegaard,106,6417HJ,Heerlen,,5.9784177000000005,50.8715653
Drieoortsput,106,6417PP,Heerlen,,5.9821061,50.868605300000006
Ir. Lelystraat,106,6419XT,Heerlen,,5.9630118,50.87404840000001
Marcus Aureliushof,106,6417TD,Heerlen,,5.9766648,50.8770852
Mergelsweg,106,6419EG,Heerlen,,5.9623349,50.8720067
Prof. van Itersonstraat,106,6419SE,Heerlen,,5.9598974,50.875937900000004
Tacitusstraat,106,6417TZ,Heerlen,,5.977141700000001,50.8761627
Van Weerden Poelmanstraat,106,6417ER,Heerlen,,5.9827294,50.875376
Vrusschemigerweg,106,6417PD,Heerlen,,5.9825768,50.870669500000005
Ypenburgstraat,106,6417PS,Heerlen,,5.982268400000001,50.8746469
Akerstraat,106A,6417BN,Heerlen,,5.9831589,50.882699
Bekkerweg,107,6417BV,Heerlen,,5.9850564,50.8795027
Benzenraderweg,107,6417SL,Heerlen,,5.9800285,50.879121000000005
Burg. Waszinkstraat,107,6417CW,Heerlen,,5.986377,50.8778075
De Thun,107,6419XG,Heerlen,,5.9616984,50.8721514
De Tichel,107,6417RE,Heerlen,,5.9774219,50.872987200000004
Dillegaard,107,6417HJ,Heerlen,,5.9784179,50.8715653
Drieoortsput,107,6417PP,Heerlen,,5.982106300000001,50.8686054
Eurenderweg,107,6417PA,Heerlen,,5.983103000000001,50.872094700000005
Frankenlaan,107,6419BS,Heerlen,,5.966494900000001,50.8756527
Oude Molenweg,107,6417GW,Heerlen,,5.9805519,50.871473900000005
Ovidiusstraat,107,6417VT,Heerlen,,5.9787533,50.878702200000006
Pijnsweg,107,6419CK,Heerlen,,5.969675400000001,50.8768874
Van Weerden Poelmanstraat,107,6417EL,Heerlen,,5.9835607,50.8749498
Vrusschemigerweg,107,6417PJ,Heerlen,,5.986342700000001,50.8701668
Weltertuijnstraat,107,6419XD,Heerlen,,5.967285100000001,50.873782600000006
Ovidiusstraat,107-GB01,,Heerlen,,5.9792027,50.878692300000004
Ovidiusstraat,107-GB02,,Heerlen,,5.9792173,50.8786621
Ovidiusstraat,107-GB03,,Heerlen,,5.979230500000001,50.878637100000006
Ovidiusstraat,107-GB04,,Heerlen,,5.9792397,50.87861040000001
Ovidiusstraat,107-GB05,,Heerlen,,5.979253,50.878585400000006
Ovidiusstraat,107-GB06,,Heerlen,,5.979266300000001,50.8785621
Ovidiusstraat,107-GB07,,Heerlen,,5.9792795000000005,50.8785328
Ovidiusstraat,107-GB08,,Heerlen,,5.979288700000001,50.878505200000006
Akerstraat,108,6417BN,Heerlen,,5.983350300000001,50.882398300000006
Bekkerweg,108,6417BX,Heerlen,,5.986617300000001,50.8780743
Benzenraderweg,108,6417SV,Heerlen,,5.979686,50.8790501
De Kommert,108,6419GG,Heerlen,,5.962367700000001,50.8710333
De Tichel,108,6417RD,Heerlen,,5.9774162,50.8729853
Dillegaard,108,6417HJ,Heerlen,,5.978418100000001,50.871565200000006
Drieoortsput,108,6417PP,Heerlen,,5.9821065,50.8686055
Ir. Lelystraat,108,6419XT,Heerlen,,5.963011600000001,50.874048300000005
Marcus Aureliushof,108,6417TD,Heerlen,,5.976664700000001,50.877085400000006
Mergelsweg,108,6419EG,Heerlen,,5.9622845,50.871974
Prof. van Itersonstraat,108,6419SE,Heerlen,,5.9598015,50.8758604
Tacitusstraat,108,6417TZ,Heerlen,,5.9771418,50.8761626
Van Weerden Poelmanstraat,108,6417ER,Heerlen,,5.9827292000000005,50.8753759
