street,housenumber,postcode,city,full_address,coordinates
Kloosterkoolhof,28F,6415XT,Heerlen,"Kloosterkoolhof 28F, 6415XT Heerlen",50.8913671 5.9877201
Magdalenastraat,8,6413HD,Heerlen,"Magdalenastraat 8, 6413HD Heerlen",50.9181908 5.9544672
Winterstraat,14,6411GM,Heerlen,"Winterstraat 14, 6411GM Heerlen",50.8846645 5.9852309
Johannes Vermeerstraat,4,6415TR,Heerlen,"Johannes Vermeerstraat 4, 6415TR Heerlen",50.8997723 5.9933272
Johannes XXIII-singel,92-GB07,,Heerlen,"Johannes XXIII-singel 92-GB07,  Heerlen",50.8744374 5.9919866
Talmastraat,34,6415HE,Heerlen,"Talmastraat 34, 6415HE Heerlen",50.8972321 5.9864112
Kloosterkoolhof,26D,6415XT,Heerlen,"Kloosterkoolhof 26D, 6415XT Heerlen",50.8910272 5.987952
Van Weerden Poelmanstraat,97,6417EL,Heerlen,"Van Weerden Poelmanstraat 97, 6417EL Heerlen",50.8750911 5.9834788
Peter Schunckstraat,254,6418XH,Heerlen,"Peter Schunckstraat 254, 6418XH Heerlen",50.8630865 6.0082392
Dokter de Weverlaan,7,6416GN,Heerlen,"Dokter de Weverlaan 7, 6416GN Heerlen",50.879376 5.9935534
Hofstraat,40,6414SX,Heerlen,"Hofstraat 40, 6414SX Heerlen",50.9245429 5.973011
